# negative-coverage baseline ledger (debt D7 — docs/verdict_policy.md §6).
# Each line is a `CASE_ID|reason` whose NEG_ROW currently lands on
# `inconclusive` (VACUOUS — proves nothing via fail). Generated by
# tools/negative_coverage_audit.py --write-baseline. A fix (re-role,
# parameterize, re-point, or retire) MUST delete the row's line here too;
# negative_coverage_audit.py --check fails on a stale or new entry.
SOMEIPSRV_RPC_14|no_response_from_instance_1_udp_port_30502
SOMEIPSRV_RPC_17|no_response_from_instance_1_tcp_port_30501
SOMEIPSRV_SD_MESSAGE_02|no_two_entry_offer_for_findservice_any_within_listen_window
TCP_ACKNOWLEDGEMENT_02|no_dut_handshake_ack
TCP_ACKNOWLEDGEMENT_03|no_dut_ack_to_data
TCP_ACKNOWLEDGEMENT_04|no_dut_handshake_ack
TCP_BASICS_01|no_dut_syn_ack_within_listen_window
TCP_BASICS_02|no_dut_syn_ack_within_listen_window
TCP_BASICS_03|no_dut_ack_to_tester_fin_within_listen_window
TCP_BASICS_04|no_dut_rst_after_syn
TCP_BASICS_05|no_dut_rst_after_synack
TCP_BASICS_06|no_dut_syn_within_listen_window
TCP_BASICS_07|no_dut_ack_within_listen_window
TCP_BASICS_08|no_dut_fin_from_established
TCP_BASICS_09|no_dut_fin_into_last_ack
TCP_BASICS_10|no_dut_close_fin_phase1
TCP_BASICS_11|no_dut_handshake_ack
TCP_BASICS_12|no_dut_handshake_ack
TCP_BASICS_13|no_dut_handshake_ack
TCP_BASICS_14|no_dut_handshake_ack
TCP_BASICS_17|no_dut_synack_to_simultaneous_syn
TCP_CALL_ABORT_02|no_dut_handshake_ack
TCP_CALL_ABORT_03|no_dut_handshake_ack_phase1_closing
TCP_CALL_RECEIVE_04|no_dut_handshake_ack_phase1_est
TCP_CALL_RECEIVE_05|no_dut_handshake_ack
TCP_CHECKSUM_01|no_dut_handshake_ack_within_listen_window
TCP_CHECKSUM_02|no_dut_handshake_ack_within_listen_window
TCP_CHECKSUM_03|no_dut_data_segment_within_listen_window
TCP_CLOSING_03|no_dut_handshake_ack
TCP_CLOSING_06|no_dut_handshake_ack
TCP_CLOSING_07|no_dut_handshake_ack
TCP_CLOSING_08|no_dut_handshake_ack
TCP_CLOSING_09|no_dut_handshake_ack
TCP_CONNECTION_ESTAB_01|no_dut_synack_for_leg1
TCP_CONNECTION_ESTAB_02|no_dut_synack_for_leg1
TCP_CONNECTION_ESTAB_03|no_dut_handshake_ack_for_leg1
TCP_CONNECTION_ESTAB_07|no_dut_ack_to_tester_fin
TCP_CONTROL_FLAGS_05|no_dut_handshake_ack
TCP_CONTROL_FLAGS_08|no_dut_syn_ack_to_first_syn
TCP_FLAGS_INVALID_01|no_dut_synack_to_first_tester_syn
TCP_FLAGS_INVALID_02|no_dut_rst_to_syn_ack_in_listen
TCP_FLAGS_INVALID_03|no_dut_syn_to_active_open
TCP_FLAGS_INVALID_04|no_dut_syn_to_active_open
TCP_FLAGS_INVALID_05|no_dut_syn_phase1_syn_ack_rst
TCP_FLAGS_INVALID_06|no_dut_syn_phase1_bare_ack
TCP_FLAGS_INVALID_07|no_dut_ack_to_otw_seq_syn_in_syn_recv
TCP_FLAGS_INVALID_08|no_dut_handshake_ack_phase1
TCP_FLAGS_INVALID_09|no_dut_handshake_ack_phase1
TCP_FLAGS_INVALID_10|no_dut_handshake_ack_phase1
TCP_FLAGS_INVALID_11|no_dut_handshake_ack_phase1
TCP_FLAGS_INVALID_12|no_dut_handshake_ack_phase1
TCP_FLAGS_INVALID_13|no_dut_handshake_ack_phase1
TCP_FLAGS_INVALID_14|no_dut_handshake_ack_phase1
TCP_FLAGS_INVALID_15|no_dut_synack_phase1_syn_rcvd
TCP_FLAGS_PROCESSING_02|no_dut_synack_phase1_syn_rcvd
TCP_FLAGS_PROCESSING_05|no_dut_synack_to_prelude_syn_phase1
TCP_FLAGS_PROCESSING_06|no_dut_handshake_ack
TCP_FLAGS_PROCESSING_07|no_dut_handshake_ack_phase1_cw
TCP_FLAGS_PROCESSING_08|no_dut_rst_to_fin_in_closed
TCP_FLAGS_PROCESSING_09|no_dut_handshake_ack_phase1_cw
TCP_FLAGS_PROCESSING_10|no_dut_first_data_segment
TCP_FLAGS_PROCESSING_11|no_dut_handshake_ack
TCP_HEADER_01|no_dut_data_segment_within_listen_window
TCP_HEADER_02|no_dut_handshake_ack
TCP_HEADER_04|no_dut_handshake_ack
TCP_HEADER_05|no_dut_handshake_ack
TCP_HEADER_06|no_dut_handshake_ack
TCP_HEADER_07|no_dut_handshake_ack
TCP_HEADER_08|no_dut_handshake_ack
TCP_HEADER_09|no_dut_handshake_ack
TCP_HEADER_11|no_dut_handshake_ack
TCP_MSS_OPTIONS_01|no_dut_syn_ack_within_listen_window
TCP_MSS_OPTIONS_02|no_dut_syn_ack_within_listen_window
TCP_MSS_OPTIONS_03|no_dut_syn_ack_within_listen_window
TCP_MSS_OPTIONS_05|no_dut_ack_to_synack_with_ilen0_mss
TCP_MSS_OPTIONS_06|no_dut_data_segment_phase1_mv200
TCP_MSS_OPTIONS_09|no_dut_data_segment_phase1_mv200
TCP_MSS_OPTIONS_10|no_dut_data_segment_within_listen_window
TCP_MSS_OPTIONS_11|no_dut_syn_with_mss_option
TCP_MSS_OPTIONS_12|no_dut_syn_with_non_default_mss
TCP_NAGLE_02|no_dut_first_data_segment
TCP_NAGLE_03|no_dut_first_data_segment
TCP_OUT_OF_ORDER_01|no_dut_handshake_ack
TCP_OUT_OF_ORDER_02|no_dut_handshake_ack
TCP_OUT_OF_ORDER_03|no_dut_handshake_ack
TCP_OUT_OF_ORDER_05|no_dut_handshake_ack
TCP_PROBING_WINDOWS_02|no_dut_handshake_ack
TCP_PROBING_WINDOWS_03|no_dut_first_data_segment
